"Id","SalePrice"
1461,125825.653426109
1462,150525.736039795
1463,180604.264384053
1464,184656.97675711
1465,193307.214252998
1466,183499.989316201
1467,171165.883779691
1468,176527.105834958
1469,176625.138092767
1470,126852.860463798
1471,187727.135556737
1472,94951.4100450307
1473,97184.0009011061
1474,151996.661664064
1475,131623.338342602
1476,365702.451225186
1477,257003.8778422
1478,301664.382461316
1479,279415.838137715
1480,465396.834082598
1481,311228.522938639
1482,207087.709577264
1483,178041.709070435
1484,170549.539693503
1485,174465.892835377
1486,198365.47176459
1487,319051.869040127
1488,230544.727577197
1489,208798.429064517
1490,207461.228754019
1491,192877.919013233
1492,106570.537636282
1493,168222.491602516
1494,300838.098254264
1495,292663.985410087
1496,230664.908983624
1497,191317.711082318
1498,154273.897682504
1499,153070.402752551
1500,162423.276602884
1501,174260.892200295
1502,159502.9901411
1503,266897.289778525
1504,231781.667931858
1505,223480.877644864
1506,186656.36776371
1507,231016.69058673
1508,195670.622596864
1509,165735.270994034
1510,150747.899256046
1511,150315.66070217
1512,162892.446933261
1513,143638.63205593
1514,146036.355519254
1515,174007.295380256
1516,151542.798199764
1517,149504.356815846
1518,133041.128215085
1519,208182.720354938
1520,138039.13204558
1521,143114.827399536
1522,159406.240618465
1523,121259.524227442
1524,124070.899040717
1525,125044.537452532
1526,127158.085968707
1527,108414.551779824
1528,130546.058119921
1529,143033.959544396
1530,162007.219268768
1531,126661.121309032
1532,104256.937697835
1533,137284.533725872
1534,114897.394286597
1535,145849.382991489
1536,116845.934954664
1537,83285.7341426158
1538,150699.174670404
1539,189151.823548505
1540,112455.024351337
1541,139490.057203312
1542,141388.776581259
1543,180351.752715349
1544,86696.7767045477
1545,103349.258792858
1546,124432.445981099
1547,135907.042660244
1548,130842.367107563
1549,110582.846760817
1550,141905.132671222
1551,116660.64751546
1552,131974.026266204
1553,131282.561758286
1554,114190.374808031
1555,175846.098002548
1556,117392.586832541
1557,120019.330874531
1558,98529.2364345071
1559,110625.735087752
1560,145723.284088764
1561,133890.439340483
1562,126406.180313676
1563,125869.83359756
1564,157442.651168624
1565,155778.443927382
1566,222300.255994993
1567,88601.3752958615
1568,221080.680750849
1569,139903.13150004
1570,131006.61544148
1571,125944.042041554
1572,141144.944604977
1573,215022.535626095
1574,114356.767197801
1575,209962.784474754
1576,217424.379537546
1577,202402.61531406
1578,147238.950945107
1579,140303.196774198
1580,190188.505613326
1581,139949.830199465
1582,129137.120987494
1583,304363.665343852
1584,234830.52470496
1585,140307.866389739
1586,77016.4726225489
1587,102210.940531377
1588,143304.276277577
1589,98634.7320058751
1590,129325.933411412
1591,104242.578637418
1592,128941.979803673
1593,123379.332398495
1594,130407.895395253
1595,124776.690791693
1596,226324.97984642
1597,174777.937464412
1598,188888.806378971
1599,168463.392791043
1600,176076.413654466
1601,72298.2669936652
1602,108864.419262438
1603,88770.0381321542
1604,281448.48743009
1605,231800.464938209
1606,166969.217887075
1607,156684.153007228
1608,213802.638669274
1609,196652.552033606
1610,166965.931850287
1611,148759.420294144
1612,164815.774913891
1613,159169.491656835
1614,118971.565965707
1615,86812.9455372799
1616,82617.0574093671
1617,87860.7853032396
1618,126905.763359939
1619,132111.609023723
1620,156101.23655788
1621,141367.881805679
1622,145344.704111105
1623,244164.144949057
1624,200872.591193301
1625,125555.728197693
1626,167116.631704491
1627,185822.35212843
1628,260795.336012128
1629,177674.942763436
1630,325331.868188138
1631,203479.081644798
1632,247162.448087158
1633,171952.955656272
1634,184593.939852939
1635,180175.932780977
1636,165227.125635839
1637,187313.358897883
1638,203161.653440422
1639,183586.376290977
1640,239871.263461988
1641,185477.976385245
1642,225886.096344645
1643,228402.298714624
1644,227530.839877753
1645,187431.522173367
1646,162377.656101239
1647,161013.461296526
1648,141077.913259515
1649,137861.283985286
1650,123095.025050268
1651,123266.015140362
1652,93416.7253797063
1653,96445.0737302318
1654,153435.588638817
1655,147011.478537485
1656,147462.398781794
1657,151838.694847785
1658,153062.817865224
1659,138185.443450025
1660,149356.11337135
1661,437579.928822844
1662,359879.246719894
1663,366328.305140421
1664,440857.687051473
1665,309508.164047445
1666,330562.507716989
1667,341126.37615698
1668,321501.689427981
1669,294593.13519096
1670,336150.762904043
1671,259238.605419125
1672,473061.299493465
1673,302091.197048884
1674,258269.164065074
1675,193354.165310874
1676,194001.531057899
1677,214336.818332316
1678,461064.739697473
1679,389574.062758761
1680,315712.803683223
1681,244715.424934039
1682,308754.819703501
1683,191991.997947415
1684,172707.843994953
1685,174843.388419249
1686,169999.44891275
1687,168992.18086932
1688,186890.701870612
1689,188633.382573004
1690,183694.636719317
1691,176525.420374487
1692,258253.192598448
1693,171802.386244219
1694,183340.960083768
1695,171453.681347674
1696,258493.62984801
1697,170828.024875737
1698,334991.38116214
1699,322276.358304343
1700,252487.408423274
1701,265324.318839646
1702,251130.991859245
1703,248742.757206224
1704,279320.86510419
1705,224472.994139058
1706,383037.966367212
1707,218540.539095772
1708,216236.640406485
1709,259684.5545273
1710,221581.810847494
1711,263209.447051043
1712,244309.991613045
1713,262646.116012144
1714,218945.761601953
1715,202878.412782446
1716,178838.096395666
1717,163965.481612379
1718,133563.874262839
1719,206719.215509006
1720,240250.716210202
1721,165807.493814107
